electrical_capacity,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,data_source,nuts_1_region,nuts_2_region,nuts_3_region,lon,lat,municipality,postcode,address,region,country,commissioning_date,solar_mounting_type,chp,capacity_individual_turbine,number_of_turbines,site_name,uk_beis_id,operator,comment,Affected_1m,Affected_2m,Affected_3m,Priority_Score,Priority_Save
9.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM8,UKM84,-3.7460804977363,55.8717992293224,Strathclyde,EH48 3AW,"Blairmuckhill Road, Harthill, North Lanarkshire",Scotland,Scotland,2013/12/30,,,3.0,3,Torrance Farm,3799,Future Spectrum Ltd,,0,0,0,0.0,0
9.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM95,-4.09000062370825,55.7416061216988,Strathclyde,,Near Laigh Muirhouses Farm Muttonhole Road Hamilton ,Scotland,Scotland,2013/12/30,,,3.0,3,Blantyre Muir Wind Farm,3810,Blantyre Muir Wind Energy Ltd,,0,0,0,0.0,0
9.0,Renewable energy,Wind,,Onshore,BEIS,UKK,UKK1,UKK11,-2.69879916235079,51.5029090341406,Avon,BS11 9DQ,"St Andrews House, St Andrew's Rd, Avonmouth, Bristol, Avon",South West,England,2014/01/04,,,3.0,3,Avonmouth Port - extension,4159,Bristol Port Company,,0,0,0,0.0,0
7.5,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM5,UKM50,-2.41012172172487,56.8439984903606,Grampian,AB30 1NB,Laurencekirk,Scotland,Scotland,2014/01/04,,,2.5,3,Tullo Wind Farm North Extension (Shiels Wind Farm),3818,Eneco,,0,0,0,0.0,0
4.0,Renewable energy,Wind,,Onshore,BEIS,UKH,UKH1,UKH17,0.73350864953175,52.6255634796196,Norfolk,,"North Pickenham Road, Breckland",Eastern,England,2014/01/04,,,2.0,2,North Pickenham Airfield,3828,Bernard Matthews Green Energy,,0,0,0,0.0,0
1.5,Renewable energy,Wind,,Onshore,BEIS,UKH,UKH2,UKH25,-0.53539737959151,52.0646579855706,Bedfordshire,,"The Marston Vale Millennium Country Park, Station Road, Marston Moretaine, Bedford, MK43 0PR",Eastern,England,2014/01/05,,,1.5,1,Marston Vale Country Park Wind Turbine,3890,Blue Energy,,0,0,0,0.0,0
6.2,Renewable energy,Wind,,Onshore,BEIS,UKD,UKD1,UKD11,-3.34630921123093,54.779501962193,Cumbria,,"Warwick Hall Farm, Westnewton, Cumbria. CA7 3PF",North West,England,2014/01/05,,,2.05,3,Westnewton,4141,,,0,0,0,0.0,0
2.5,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM93,-4.61818873993109,55.5928669175113,Strathclyde,,Shewalton Road Riverside Business Park Irvine Ayrshire KA11 5AP,Scotland,Scotland,2014/01/06,,,2.5,1,GlaxoSmithKline Wind Project (Turbine 4),4370,GlaxoSmithKline,,0,0,0,0.0,0
10.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM5,UKM50,-2.40489375080071,56.8274229414571,Grampian,,"Tullo Farm, Laurencekirk AB30 1HS",Scotland,Scotland,2014/01/07,,,2.5,4,Tullo Wind Farm South (Ext.),4422,Eneco,,0,0,0,0.0,0
136.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM92,-3.57419764233996,55.2390293230611,Dumfries and Galloway,,Mofatt Village Dumfries and Galloway,Scotland,Scotland,2014/01/07,,,2.0,68,Harestanes,4119,Scottish Power Renewables,,0,0,0,0.0,0
4.6,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM5,UKM50,-2.40067103577772,56.9229041514316,Grampian,,Stonehaven AB39 3YA,Scotland,Scotland,2014/01/07,,,2.3,2,Droop Hill Wind Farm x,3398,Macphie Of Glenbervie Ltd,,0,0,0,0.0,0
14.4,Renewable energy,Wind,,Onshore,BEIS,UKF,UKF2,UKF25,-0.65183973456913,52.3615540407647,Northamptonshire,NN15 5PU,"Burton Wold Wind Farm, Wold Road, Burton Latimer",East Midlands,England,2014/01/08,,,1.6,9,Burton Wold Wind Farm - Northern Extension (resubmission),4210,John Laing Environmental Assets Group,,0,0,0,0.0,0
1.5,Renewable energy,Wind,,Onshore,BEIS,UKH,UKH1,UKH12,-0.00458965531468,52.5206710918779,Cambridgeshire,,Land North West Of Greenvale Produce LtdFloods Ferry RoadDoddingtonCambridgeshire,Eastern,England,2014/01/08,,,1.5,1,Greenvale AP Wind Turbine - resubmission,4374,Greenvale AP,,1,1,1,1.5,0
4.6,Renewable energy,Wind,,Onshore,BEIS,UKK,UKK3,UKK30,-4.81411316135198,50.4253170534413,Cornwall,,Nr Roche St Austell Cornwall,South West,England,2014/01/09,,,2.3,2,Woodlands Barton Wind Project,4140,Private Developer,,0,0,0,0.0,0
43.7,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM63,-5.58735277086439,55.5731704807466,Strathclyde,,South of original Beinn and TuircNr. Carradale,Scotland,Scotland,2014/01/09,,,2.3,16,Beinn an Tuirc Phase 2,4525,Scottish Power Renewables,,0,0,0,0.0,0
4.6,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM62,-2.85589710526602,57.6027506163218,Grampian,AB55 6NL,"Grange Crossroads, Keith, Grampian",Scotland,Scotland,2014/01/11,,,2.3,2,Netherton of Windyhills,3691,Strathdee Energy,,0,0,0,0.0,0
1.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM5,UKM50,-1.94189587044407,57.4308378133857,Grampian,AB42 0QS,"Hatton, Peterhead, Aberdeenshire",Scotland,Scotland,2014/01/12,,,0.5,2,Yonderton Farm,3723,Green Cat Renewables,,0,0,0,0.0,0
1.5,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM7,UKM72,-3.15933924157757,56.1665078488073,Fife,,Skeddoway Farm Strathore Road Strathore Thornton Fife,Scotland,Scotland,2014/01/12,,,2.5,1,Skeddoway Farm Wind Turbine (Resubmission),4093,Clenergy,,0,0,0,0.0,0
1.5,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL1,UKL17,-3.74788548360431,51.5633086772428,Gwent,,"Longlands Lane, Margam, nr junction 38 of the M4.",Wales,Wales,2014/01/12,,,1.5,1,Longlands Lane,4196,Renewable Energy Systems (RES),,0,0,0,0.0,0
1.5,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM7,UKM72,-3.15926588921668,56.1640735649084,Fife,,"Poultry Buildings, Strathore Farm, Strathore Road, Thornton, Fife",Scotland,Scotland,2014/01/12,,,1.5,1,Noble Foods,4404,Wind Direct,,0,0,0,0.0,0
2.4,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM5,UKM50,-2.64683918474689,57.5813575908306,Grampian,,"Auchinderran Farm, Aberchirder, Aberdeenshire",Scotland,Scotland,2014/01/12,,,0.8,3,Auchinderran Wind Farm,3806,Green Cat Renewables,,0,0,0,0.0,0
1.5,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM7,UKM72,-3.15933924157757,56.1665078488073,Fife,,"Strathore Road, Thornton, Fife",Scotland,Scotland,2014/01/12,,,1.5,1,Skeddoway Farm Wind Turbine,3845,RM Brown & Son Ltd,,0,0,0,0.0,0
