electrical_capacity,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,data_source,nuts_1_region,nuts_2_region,nuts_3_region,lon,lat,municipality,postcode,address,region,country,commissioning_date,solar_mounting_type,chp,capacity_individual_turbine,number_of_turbines,site_name,uk_beis_id,operator,comment
1.3,Renewable energy,Wind,,Onshore,BEIS,UKE,UKE2,UKE22,-1.91415446872411,53.96243244587156,North Yorkshire,,"Land adjacent to Chelker Reservoir, nr Skipton",Yorkshire and Humber,England,1992-01-06,,,0.3,4.0,Chelker Reservoir,2921.0,Yorkshire Water,
2.7,Renewable energy,Wind,,Onshore,BEIS,UKC,UKC2,UKC21,-1.49519096694948,55.12543841987095,Northumberland,,Blyth HarbourNorth BlythCamboisBedlingtonNorthumberland,North East,England,1992-01-12,,,0.3,9.0,Blyth Harbour Wind Farm,3659.0,Border Wind Farms Ltd,
31.0,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL2,UKL24,-3.43083091499236,52.44210417740219,Powys,,10km south of Newtown,Wales,Wales,1993-01-01,,,0.3,103.0,Llandinam Windfarm,3057.0,CELTPOWER LTD,
4.8,Renewable energy,Wind,,Onshore,BEIS,UKD,UKD1,UKD12,-3.13572530041748,54.25749073629591,Cumbria,,"approximately 4km from Ulverston, within a Site of Special Scientific Interest",North West,England,1993-01-01,,,0.4,12.0,Kirkby Moor,2713.0,Npower Renewables,
9.6,Renewable energy,Wind,,Onshore,BEIS,UKD,UKD4,UKD46,-2.14998372886887,53.74966189387358,Lancashire,,Burnley,North West,England,1993-01-02,,,0.4,24.0,Coal Clough Wind Farm,3079.0,Renewable Energy Systems (RES),
9.0,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL1,UKL15,-3.46481259164611,51.56938784642986,Mid Glamorgan,,10 kilometres (km) north east of Bridgend,Wales,Wales,1993-01-10,,,0.45,20.0,Taff Ely Wind Farm,2776.0,Npower Renewables,
5.9,Renewable energy,Wind,,Onshore,BEIS,UKE,UKE3,UKE31,-1.66956562681608,53.53219946402184,South Yorkshire,,"Royd Moor, Penistone",Yorkshire and Humber,England,1993-01-12,,,0.45,13.0,Royd Moor,3432.0,,
9.9,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL2,UKL24,-3.56559192516945,52.36716527766677,Powys,,"Bryntitli Platuae, North of RhayaderPowys",Wales,Wales,1994-01-06,,,0.45,22.0,Bryn titli Windfarm,3015.0,Innogy,
5.0,Renewable energy,Wind,,Onshore,BEIS,UKN,UKN1,UKN12,-6.81982633916381,55.02185305097683,Co. Derry / Londonderry,,"Rigged Hill, 11km east of Limavady, County Londonderry",Northern Ireland,Northern Ireland,1994-01-11,,,0.5,10.0,Rigged Hill Wind Farm,3112.0,B9 Energy Services Ltd/ ScottishPower Renewables,
5.0,Renewable energy,Wind,,Onshore,BEIS,UKN,UKN1,UKN12,-6.2873112026139,55.04356219126027,Co. Antrim,,Slievenahanaghen Mountain(Accessed via Corkey Road)CloughmillsCounty Antrim,Northern Ireland,Northern Ireland,1994-01-12,,,0.5,10.0,Corkey Wind Farm,3103.0,B9 Energy Services Ltd/ ScottishPower Renewables,
5.5,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL1,UKL14,-4.59071873485952,51.91118098602812,Dyfed,,"Dyffryn Brodyn Wind Farm, near Llanboidy, north of St Clears",Wales,Wales,1994-01-12,,,0.5,11.0,Dyffryn Brodyn Wind Farm,2956.0,Renewable Energy Systems (RES),
5.0,Renewable energy,Wind,,Onshore,BEIS,UKN,UKN1,UKN13,-6.11896663137633,54.73893212328421,Co. Antrim,,Elliot's HillTildargnear BallyclareCounty Antrim,Northern Ireland,Northern Ireland,1995-01-04,,,0.5,10.0,Elliot's Hill Wind Farm,3106.0,B9 Energy Services Ltd/ ScottishPower Renewables,
5.0,Renewable energy,Wind,,Onshore,BEIS,UKN,UKN1,UKN10,-7.44045916308172,54.70394960477783,Co. Tyrone,,"Bessy Bell Mountain Baronscourt Estate Newtownstewart, County Tyrone",Northern Ireland,Northern Ireland,1995-01-10,,,0.5,10.0,Bessy Bell Wind Farm,3097.0,"Colham Energy Ltd, plus Airtricty extrension",
7.8,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM95,-3.920325315483,55.55537006857698,Strathclyde,,The site lies 4km west of Douglas,Scotland,Scotland,1995-01-11,,,0.6,13.0,"Hagshaw Hill (S15) Wind Farm, Lanarkshire",3593.0,Trigen,
7.8,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM95,-3.92008328958798,55.55528399061822,Strathclyde,,The site lies 4km west of Douglas,Scotland,Scotland,1995-01-11,,,0.6,13.0,Hagshaw Hill Wind Farm,3301.0,Trigen,
5.0,Renewable energy,Wind,,Onshore,BEIS,UKN,UKN1,UKN16,-7.62840012689787,54.19027968134249,Co. Fermanagh,,"Slieve RushenDerrylin20km south of Enniskillen, County Fermanagh",Northern Ireland,Northern Ireland,1995-01-12,,,0.5,10.0,Slieve Rushen Phase 1 Wind Farm,3122.0,Sean Quinn Group,
5.6,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL1,UKL11,-4.34646646525913,53.37475947728652,Gwynedd,,Trysglwyn FawrRhosybolIsle of AngleseyGwynedd,Wales,Wales,1996-01-05,,,0.4,14.0,Trysglwyn Wind Farm,2567.0,RWE npower,
4.2,Renewable energy,Wind,,Onshore,BEIS,UKD,UKD1,UKD11,-3.54295594864795,54.67412532932385,Cumbria,,Siddick Wind Farm Siddick Workington Cumbria,North West,England,1996-01-08,,,0.6,7.0,Siddick Wind Farm,2624.0,Windprospect / Windcluster,
5.4,Renewable energy,Wind,,Onshore,BEIS,UKD,UKD1,UKD11,-3.55635709192205,54.65957348391446,Cumbria,,Oldside Wind FarmWorkingtonCumbria,North West,England,1996-01-09,,,0.6,9.0,Oldside Wind Farm,2625.0,Windprospect / Windcluster,
21.6,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM92,-4.18293943745383,55.2970649926489,Dumfries and Galloway,,"Windy Standard, Dumfries & Galloway",Scotland,Scotland,1996-01-10,,,0.6,36.0,Brochloch Rig 1 (formerly Windy Standard),4527.0,Fred Olsen Renewables,
16.8,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL2,UKL24,-3.5791911298923,52.54230630405943,Powys,,Cwm CledanCarnoPowys,Wales,Wales,1996-01-10,,,0.6,28.0,Carno 'A' Wind Farm,2565.0,RWE npower,
16.8,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL2,UKL24,-3.60816293964817,52.54943241544755,Powys,,"Trannon Moor, Carno, Powys",Wales,Wales,1996-01-10,,,0.6,28.0,Carno 'B' Wind Farm,2564.0,RWE npower,
5.0,Renewable energy,Wind,,Onshore,BEIS,UKN,UKN1,UKN10,-7.33901857270684,54.80968314136285,Co. Tyrone,,Land near Craignagapple 10km South East of Strabane County Tyrone,Northern Ireland,Northern Ireland,1997-01-01,,,0.5,10.0,Owenreagh Wind Farm,3118.0,EF Energy,
2.5,Renewable energy,Wind,,Onshore,BEIS,UKD,UKD1,UKD12,-3.14671525502606,54.20487952548283,Cumbria,LA12 0,"Harlock Hill Wind Farm, Pennington, Near Ulverston, Cumbria",North West,England,1997-01-01,,,0.5,5.0,Harlock Hill Wind Farm,2617.0,The Wind Company,
3.0,Renewable energy,Wind,,Onshore,BEIS,UKC,UKC2,UKC23,-1.42715764323823,54.82728530657091,Tyne and Wear,,Great Eppleton FarmNorth LaneHetton le HoleTyne and Wear,North East,England,1997-01-04,,,0.75,4.0,Great Eppleton Wind Farm,2591.0,Border Windfarm Limited / AMEC,
17.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM61,-4.42695656556137,57.70998745363968,Highland,,Novar Estate,Scotland,Scotland,1997-01-09,,,0.0,34.0,Meall an Tuirc Wind Farm,3297.0,RWE npower,
9.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM61,-4.42665620567903,57.70550038196297,Highland,,Novar Estate,Scotland,Scotland,1997-01-09,,,0.5,18.0,"Bendealt Wind Farm, Highland",3296.0,RWE npower,
20.4,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL1,UKL11,-4.46556598336558,53.35437542471937,Gwynedd,,Llanbabo Wind FarmLand tp the north of Llyn AlawIsle of AngleseyGwynedd,Wales,Wales,1997-01-10,,,2.25,9.0,Llanbabo Wind Farm,2582.0,MANWEB Generation Holdings,
2.4,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL1,UKL14,-3.87722824761466,52.40758086303285,Dyfed,SW23 3PQ,"Rheidol Wind Farm, Banc Bwa Drain, Goginan, Aberystwyth",Wales,Wales,1997-06-02,,,0.3,8.0,Rheidol Wind Farm,3552.0,Powergen,
4.5,Renewable energy,Wind,,Onshore,BEIS,UKK,UKK3,UKK30,-5.13736148589087,50.28894255056669,Cornwall,,"Blackwater, Truro, Cornwall",South West,England,1998-01-03,,,0.3,15.0,Four Burrows Wind Farm,3578.0,Renewable Energy Systems (RES),
2.4,Renewable energy,Wind,,Onshore,BEIS,UKD,UKD1,UKD11,-3.3245332019581,54.20395417898876,Cumbria,,Kirksanton AirfieldPart of Hemplands FarmHaveriggMillomCumbria,North West,England,1998-01-07,,,0.6,4.0,Haverigg Extension Wind Farm,2626.0,The Wind Company,
10.2,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL1,UKL14,-3.97100057071126,52.4662963443208,Dyfed,,Mynydd Gorddu Elerch Tal-y-Bont Dyfed,Wales,Wales,1998-04-18,,,0.54,19.0,Mynydd Gorddu Wind Farm,2559.0,Cynllun Trydan Gwynt,
3.0,Renewable energy,Wind,,Onshore,BEIS,UKD,UKD7,UKD73,-3.03931041782271,53.46521437819613,Merseyside,,"Royal Seaforth Dock Port of Liverpool Bootle, Sefton Merseyside",North West,England,1999-04-24,,,0.5,6.0,Royal Seaforth Dock Wind Farm,2574.0,Mersey Docks and Harbour Company and Windcluster Limited,
7.8,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM63,-5.29771411952378,56.38234734261971,Strathclyde,,"Land at Carn Gaibhre, Argyle and Bute",Scotland,Scotland,1999-06-25,,,0.55,14.0,Beinn Ghlas Wind Farm,3295.0,RWE npower,
4.6,Renewable energy,Wind,,Onshore,BEIS,UKD,UKD1,UKD11,-3.18137840102975,54.18387222642964,Cumbria,,"Land North East of Far Old Park Farm, Ireleth, Askam-in-Furness",North West,England,1999-07-13,,,0.66,7.0,Askam,3391.0,Cannock Renewables,
1.5,Renewable energy,Wind,,Onshore,BEIS,UKH,UKH1,UKH17,0.68326742303699,52.65672902466078,Norfolk,,East of West Acre RoadSwaffhamNorfolk,Eastern,England,1999-08-16,,,1.47,1.0,Swaffham 1 - Ecotech Wind Park,2556.0,LRZ Ltd (Taken over by NOVERA),
4.0,Renewable energy,Wind,,Onshore,BEIS,UKD,UKD1,UKD11,-3.07673817995218,54.87148886835017,Cumbria,,Near CarlisleCumbria,North West,England,1999-12-21,,,0.66,6.0,Great Orton,3491.0,Cumbria Wind Farms,
5.9,Renewable energy,Wind,,Onshore,BEIS,UKN,UKN1,UKN11,-7.18339771900543,54.3926528805208,Co. Tyrone,,"Lendrum's BridgeMurley Road, FivemiletownCounty Tyrone",Northern Ireland,Northern Ireland,2000-01-02,,,0.66,9.0,Lendrum's Bridge Wind Farm,3568.0,Renewable Energy Systems (RES),
2.3,Renewable energy,Wind,,Onshore,BEIS,UKD,UKD1,UKD11,-3.07204041341735,54.87063174437613,Cumbria,,"Great Orton Airfield, near Wiggonby, Carlisle, Cumbria",North West,England,2000-01-02,,,0.4,6.0,Great Orton Wind Farm (Extension),2613.0,Great Orton Wind Farms (II) Ltd,
1.5,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM65,-3.1438282675724,59.11310983956434,Orkney Islands,,"Burgar Hill, Orkney",Scotland,Scotland,2000-01-04,,,1.5,1.0,Thorfinn Wind Farm - NM1500,3120.0,Vestas,
4.7,Renewable energy,Wind,,Onshore,BEIS,UKD,UKD1,UKD11,-3.5710105875569,54.59736831589059,Cumbria,,LowcaNear WorkingtonCumbria,North West,England,2000-01-04,,,0.67,7.0,Lowca Wind Farm,3611.0,Windprospect,
2.3,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM65,-3.14037382068395,59.10900895093878,Orkney Islands,KW17 2PJ,"Burgar Hill and the Wards, Evie, Orkney",Scotland,Scotland,2000-01-04,,,1.15,2.0,Thorfinn Wind Farm - NM2000,3308.0,Vestas,
13.2,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM93,-4.12628279625388,55.36280446152188,Strathclyde,,"New Cumnock, East Ayreshire",Scotland,Scotland,2000-01-11,,,0.66,20.0,Hare Hill (East Ayrshire),2711.0,Scottish Power Renewables,
1.8,Renewable energy,Wind,,Onshore,BEIS,UKC,UKC2,UKC21,-1.98900404293442,55.08653959118295,Northumberland,,"West Farm, Kirkheaton, Northumberland",North East,England,2000-05-22,,,0.6,3.0,Kirkheaton Wind Farm,2587.0,Border Wind Farms Ltd /AMEC,
1.5,Renewable energy,Wind,,Onshore,BEIS,UKH,UKH1,UKH15,1.65446231071033,52.70989357246616,Norfolk,,"Somerton, Great Yarmouth, Norfolk",Eastern,England,2000-07-22,,,1.47,1.0,South Beach Wind Turbine (Somerton),2555.0,Ecotricity,
17.2,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM91,-2.84603162465033,55.80645758065639,Borders,,"Dun Law, 5km north west of Oxton, Lammermuir Hills",Scotland,Scotland,2000-08-21,,,0.66,26.0,Dun Law,3570.0,Renewable Energy Systems (RES),
3.7,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM66,-1.2360532772657,60.16475478519601,Shetland,,"Lerwick, Shetland, N Isles",Scotland,Scotland,2000-12-16,,,0.75,5.0,Burradale Hill,3310.0,Shetland Aerogenerators,
3.6,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL1,UKL14,-4.52970757477492,51.75692987561505,Dyfed,,Parc-Cynog FarmPendineCarmarthenshire,Wales,Wales,2001-01-02,,,0.7,5.0,Parc-Cynog Wind Farm,2636.0,Micon Wind Turbines (UK) Limited,
15.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM63,-5.56813738307264,55.58002612104197,Strathclyde,,Situated next to Beinn an TuircKintyre,Scotland,Scotland,2001-01-10,,,0.57,26.0,Cnoc Donn Arnicle,3294.0,CRE Energy/ Scottish Power,
1.8,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM8,UKM83,-4.27904408222069,55.69185785098865,Strathclyde,,Galloway,Scotland,Scotland,2001-01-11,,,0.9,2.0,Myres Hill,3090.0,National Energy Laboratories (NEL),
4.7,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM8,UKM83,-4.28438534286352,55.69068001324649,Strathclyde,,National Wind Turbine Test siteMyres HillEaglesham,Scotland,Scotland,2001-02-15,,,2.3,2.0,National Wind Turbine Test Site,3093.0,NEL,
9.8,Renewable energy,Wind,,Onshore,BEIS,UKK,UKK3,UKK30,-4.95562730147731,50.47029013236323,Cornwall,,Bears Down ReservoirSt ColombCornwall,South West,England,2001-08-31,,,0.6,16.0,Bears Down Wind Farm,3392.0,Natural Power,
6.5,Renewable energy,Wind,,Onshore,BEIS,UKD,UKD1,UKD12,-2.63513945425498,54.3362847761477,Cumbria,,"Lambrigg Fell, Off A684, Roan EdgeCumbria",North West,England,2001-09-22,,,1.3,5.0,Lambrigg Wind Farm,3390.0,Lambrigg Windfarm Ltd,
15.8,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM63,-5.54401012022162,55.62928087688168,Strathclyde,,Deucheran HillNr. Muasdale,Scotland,Scotland,2001-11-30,,,1.75,9.0,Deucheran Hill,3554.0,Powergen Renewables,
30.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM63,-5.58735277086439,55.57317048074658,Strathclyde,,Nr. Carradale,Scotland,Scotland,2001-12-23,,,0.37,46.0,Beinn an Tuirc,3292.0,CRE Energy/ Scottish Power,
2.6,Renewable energy,Wind,,Onshore,BEIS,UKC,UKC1,UKC14,-1.82280016619194,54.76380395419583,Durham,,"Tow Law, Crook, County Durham",North East,England,2001-12-30,,,0.9,3.0,Tow Law Wind Farm,2586.0,RWE npower,
2.4,Renewable energy,Wind,,Onshore,BEIS,UKC,UKC1,UKC14,-1.75752823269238,54.76369119218648,Durham,,"High Hedley Farm, Tow Law, Bishop Auckland, County Durham",North East,England,2001-12-30,,,0.8,3.0,Hedley Hope,3466.0,Border Wind,
3.4,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL2,UKL24,-3.67206777769021,52.65791048789725,Powys,,Mynydd y CemmaesCemmaesMachynllethPowys,Wales,Wales,2002-01-02,,,0.56,6.0,Cemmaes 'B' Wind Farm,2566.0,Vestas,
6.6,Renewable energy,Wind,,Onshore,BEIS,UKK,UKK3,UKK30,-4.54674861514642,50.64550885178465,Cornwall,,LauncestonCornwall,South West,England,2002-01-06,,,0.3,22.0,Cold Northcott,3511.0,Otter Power,
9.0,Renewable energy,Wind,,Onshore,BEIS,UKE,UKE1,UKE12,0.09944613989383,53.66885348725757,Humberside,,Southfield FarmsHull,Yorkshire and Humber,England,2002-01-31,,,1.3,7.0,Out Newton Wind Farm,2659.0,Powergen Renewables Developments Ltd,
15.3,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL2,UKL24,-3.6743364106067,52.6398970251928,Powys,,CemmaesMachynllethPowys,Wales,Wales,2002-02-23,,,0.85,18.0,Cemmaes 'C' Wind Farm,2576.0,Vestas,
31.2,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM7,UKM73,-3.12213636804623,55.71579272576552,Lothian,,"Roughside Hill and Emily Bank, Peebles",Scotland,Scotland,2002-05-09,,,1.3,24.0,Bowbeat Wind Farm,3300.0,PowerGen and  Natural Power Consultants Ltd,
3.9,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL1,UKL14,-4.44125292425169,51.99711120967735,Dyfed,,"Moelfre Capel Iwan Dyfed, Carmarthenshire",Wales,Wales,2002-07-30,,,1.3,3.0,Blaen Bowi Wind Farm,2630.0,WINDJEN POWER LTD,
30.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM91,-3.06771007789713,55.70459664485536,Borders,,"Roughside Moss, Peebles",Scotland,Scotland,2002-09-15,,,1.25,24.0,Roughside Hill,3299.0,PowerGen and Natural Power,
2.7,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM65,-2.66007905215779,59.09725353034979,Orkney Islands,,"Rothiesholm, Stronsay, Orkney",Scotland,Scotland,2002-10-04,,,0.9,3.0,Rothiesholm,3529.0,Longearth Ltd / Farm Energy,
2.7,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM65,-2.66007905215779,59.09725353034979,Orkney Islands,,"Rothiesholm, Bu Farm, Stronsay, Orkney",Scotland,Scotland,2002-10-05,,,0.9,3.0,Bu Farm,4008.0,Longearth Ltd/ Farm Energy,
2.6,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL1,UKL13,-3.58825652485749,52.99620216511997,Clwyd,,3 km South of CerrigydrudionLlangwm,Wales,Wales,2002-12-15,,,0.85,3.0,Hafoty Ucha '2' and '3' Wind Turbine,2568.0,Private Developer,
7.3,Renewable energy,Wind,,Onshore,BEIS,UKN,UKN1,UKN11,-7.14889584671112,54.39383597678994,Co. Tyrone,,Lendrum's BridgeMurley RoadFivemiletownCounty Tyrone,Northern Ireland,Northern Ireland,2002-12-20,,,0.66,11.0,Lendrum's Bridge Wind Farm ( Extension 2),3566.0,Renewable Energy Systems (RES),
12.8,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM63,-5.66658469283664,55.49529040859679,Strathclyde,,"Kilkenzie, Cambeltown",Scotland,Scotland,2002-12-26,,,0.85,15.0,Tangy Wind Farm/Tangy 1,3467.0,Border Wind / Scottish and Southern (SSE),
26.0,Renewable energy,Wind,,Onshore,BEIS,UKN,UKN1,UKN12,-7.03410579766212,54.96257801854033,Co. Derry / Londonderry,,Alta Hullion DrumDun GivenCo. Londonderry,Northern Ireland,Northern Ireland,2003-01-05,,,1.3,20.0,Altahullion,3575.0,Renewable Energy Systems (RES) / BP Energy,
2.6,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM61,-3.68813585215401,58.6023599683306,Highland,KW14 7YB,Wind Turbine Ex Navy Base Forss Dounreay Thurso Caithness,Scotland,Scotland,2003-01-07,,,1.3,2.0,Forss Wind Farm,6636.0,Renewable Energy Systems (RES),
5.5,Renewable energy,Wind,,Onshore,BEIS,UKC,UKC1,UKC11,-1.30027048936603,54.69361685539526,Cleveland,,"Potters Farm, Elwick, Hartlepool, Cleveland",North East,England,2003-01-12,,,1.83,3.0,High Volts Wind Farm,3495.0,E.ON UK,
2.6,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL1,UKL13,-3.72497570948269,53.13634172278363,Gwynedd,,Moel MaelogenNr LlanrwstConwyGwynedd,Wales,Wales,2003-01-30,,,1.3,2.0,Moel Maelogen A,2653.0,John Laing Environmental Assets Group,
1.2,Renewable energy,Wind,,Onshore,BEIS,UKG,UKG1,UKG12,-2.31841182876571,52.12897578712783,Hereford and Worcester,,The HavenOxhill FarmBlackmor ParkMalvernWorcestershire,West Midlands,England,2003-05-11,,,1.2,1.0,The Haven,3179.0,Private Developer,
1.8,Renewable energy,Wind,,Onshore,BEIS,UKH,UKH1,UKH17,0.70070172128104,52.65768161199878,Norfolk,,Old Sporle RoadSwaffham,Eastern,England,2003-07-15,,,1.79,1.0,Swaffham Plashes II,3159.0,Ecotricity,
4.9,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM61,-3.68813585215401,58.6023599683306,Highland,,"Forss Phase 2, Caithness",Scotland,Scotland,2003-08-02,,,1.3,4.0,Hill of Lybster,3309.0,Fivestone Ltd (subsidiary of Abbey Produce),
24.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM93,-4.80614130431889,55.64389987084064,Strathclyde,,Near ArdrossanNorth Ayreshire,Scotland,Scotland,2003-12-19,,,2.0,12.0,Ardrossan,3117.0,Airtricity,
9.4,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL1,UKL14,-4.02915564451398,52.30685474969227,Dyfed,,"Llangwyryfon,Southeast AberystwythCeredigion",Wales,Wales,2004-01-02,,,0.85,11.0,Llangwyryfon,3229.0,Westbury Windfarms,
1.2,Renewable energy,Wind,,Onshore,BEIS,UKD,UKD1,UKD11,-3.3245332019581,54.20395417898876,Cumbria,,Kirksanton Airfield Part of Hemplands Farm Haverigg Millom Cumbria,North West,England,2004-01-05,,,0.22,5.0,Haverigg Repowering (Haverigg II),3614.0,Windprospect,
1.2,Renewable energy,Wind,,Onshore,BEIS,UKE,UKE2,UKE22,-1.91415446872411,53.96243244587156,North Yorkshire,,"Land adjacent to Chelker Reservoir, nr Skipton",Yorkshire and Humber,England,2004-01-05,,,0.3,4.0,Chelker Reservoir (Retention of Turbines),2747.0,Yorkshire Water,
2.8,Renewable energy,Wind,,Onshore,BEIS,UKC,UKC1,UKC14,-1.6776061315677,54.8470796946101,Durham,,"Burnhope, Stanley, County Durham",North East,England,2004-01-06,,,1.37,2.0,Holmside Hall,3494.0,E.ON UK,
48.3,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM61,-3.08542299156386,58.44347077253684,Highland,,"Causey Mire, Caithness, Highlands",Scotland,Scotland,2004-01-06,,,2.0,24.0,Causeymire,3108.0,Innogy (formerly RWE npower),
1.3,Renewable energy,Wind,,Onshore,BEIS,UKC,UKC1,UKC14,-1.41510916266004,54.76158062687928,Durham,,"Harehill Farm, Haswell Plough, County Durham",North East,England,2004-01-07,,,1.3,1.0,Hare Hill,3496.0,E.ON UK,
9.6,Renewable energy,Wind,,Onshore,BEIS,UKF,UKF3,UKF30,0.23842538904401,53.32128343647233,Lincolnshire,,"Mile Lane, Mablethorpe, Lincolnshire",East Midlands,England,2004-01-11,,,0.6,8.0,Bambers Farm,3157.0,Ecotricity,
50.6,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM62,-3.3629576001614,57.53726466013939,Grampian,,"Cairn Uish, 10km south of Elgin,  Moray",Scotland,Scotland,2004-01-11,,,2.3,22.0,Rothes Wind (Cairn Uish),3534.0,Natural Power Consultants,
2.3,Renewable energy,Wind,,Onshore,BEIS,UKH,UKH1,UKH14,1.76101597750467,52.48041742907984,Suffolk,,Land off North Beach Industrial EstateOff Wilde StreetNesspointLowestoft,Eastern,England,2004-01-12,,,2.3,1.0,Ness point Wind Turbine 1,3105.0,SLP Energy,
8.8,Renewable energy,Wind,,Onshore,BEIS,UKD,UKD1,UKD11,-3.50405917065463,54.62877731357553,Cumbria,,"Winscales, Workington, Cumbria",North West,England,2004-01-12,,,0.8,11.0,Winscales Phase I and II,3492.0,Cumbria Wind Farms,
33.3,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM63,-5.15593048147032,56.03904308125951,Strathclyde,,"Cruach Mhor, Cowal, Glen Dareul, Agyll, Bute",Scotland,Scotland,2004-01-31,,,0.95,35.0,Cruach Mhor,3585.0,Scottish Power Renewables,
2.7,Renewable energy,Wind,,Onshore,BEIS,UKC,UKC1,UKC14,-1.41510916266004,54.76158062687928,Durham,,"Hare Hill, Durham",North East,England,2004-02-07,,,1.35,2.0,Hare Hill (B),3110.0,Powergen,
124.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM95,-3.76256667350524,55.76218929742812,Strathclyde,,"Black Law, Climpy",Scotland,Scotland,2004-05-31,,,2.3,54.0,Black Law,3116.0,Scottish Power Renewables,
5.9,Renewable energy,Wind,,Onshore,BEIS,UKI,UKI5,UKI52,0.15082892092938,51.51868999685209,Greater London,,Ford Motor Company EstateKent AvenueDagenham,London,England,2004-06-17,,,2.96,2.0,Ford Wind Park - Dagenham,3158.0,Ecotricity,
62.5,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM91,-2.50750607154613,55.88295080497738,Borders,,"Crystal Rig, Scottish Borders",Scotland,Scotland,2004-06-30,,,2.5,25.0,Crystal Rig Phase 1,3114.0,Fred Olsen Renewables,
2.0,Renewable energy,Wind,,Onshore,BEIS,UKH,UKH1,UKH12,0.08930254370959,52.57309782020169,Cambridgeshire,,Foundry WayLonghill RoadMarch,Eastern,England,2005-01-01,,,2.0,1.0,Long Hill Road,3101.0,Snow Mountain Investment Ltd,
2.5,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM5,UKM50,-2.39328068314315,57.37610680003466,Grampian,,"Hill of Easterton, 1km North Of Mackies Ice Cream Dairy, Westertown, Rothienorman, Inverurie, AB51 8US",Scotland,Scotland,2005-01-01,,,2.5,1.0,Hill of Easterton,3532.0,Mackies,
19.5,Renewable energy,Wind,,Onshore,BEIS,UKN,UKN1,UKN16,-7.69557980045185,54.54713425521159,Co. Fermanagh,,"Lack, Tappaghan Mountains, Northern Ireland",Northern Ireland,Northern Ireland,2005-01-02,,,1.5,13.0,Tappaghan,3130.0,Greencoat UK Wind,
16.4,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL2,UKL24,-3.70696057390477,52.41465835536938,Powys,,"Bryn Du Hills, South Of A44 At Pont Rydgaled, Powys, (LLangurig area)",Wales,Wales,2005-01-04,,,0.42,39.0,Bryn Du,3556.0,Renewable Development Company Ltd,
