electrical_capacity,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,data_source,nuts_1_region,nuts_2_region,nuts_3_region,lon,lat,municipality,postcode,address,region,country,commissioning_date,solar_mounting_type,chp,capacity_individual_turbine,number_of_turbines,site_name,uk_beis_id,operator,comment
120.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM94,-4.79705356157593,55.06878479565354,South Ayrshire,,Arecleoch and Kilgallioch Forest near Barrhill,Scotland,Scotland,2011-06-14,,,2.0,60.0,Arecleoch Windfarm,3258.0,Scottish Power Renewables,
6.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM63,-5.53045984604133,55.4786150335117,Strathclyde,,"Kilkenzie, Campbelltown",Scotland,Scotland,2011-06-17,,,0.85,7.0,Tangy Wind Farm Extension/Tangy 2,4024.0,Scottish and Southern Energy (SSE),
1.5,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM7,UKM72,-3.44659482944274,56.05644257055436,Fife,,"Pitreavie Crescent, Pitreavie Business Park, Dunfermline, KY11 8UT",Scotland,Scotland,2011-07-12,,,0.75,2.0,FMC Technologies,2687.0,FMC Technologies,
6.4,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL1,UKL15,-3.45116987440052,51.65111438748356,Mid Glamorgan,,PenrhysRhonddaMid Glamorgan,Wales,Wales,2011-08-06,,,0.8,8.0,Penrhys Wind Farm/Ferndale Power Factory,3660.0,John Laing Environmental Assets Group,
3.2,Renewable energy,Wind,,Onshore,BEIS,UKK,UKK3,UKK30,-4.61032683607021,50.68489144333374,Cornwall,,"Otterham, Camelford",South West,England,2011-08-17,,,0.8,4.0,Otterham Down Wind Farm (Resubmission),3941.0,Otter Power,
9.2,Renewable energy,Wind,,Onshore,BEIS,UKD,UKD1,UKD11,-3.3475198637061,54.85328295704872,Cumbria,,Park Head FarmSillothCarlisle,North West,England,2011-09-14,,,2.5,4.0,Hellrigg Wind farm - Resubmission,3002.0,Npower Renewables,
8.0,Renewable energy,Wind,,Onshore,BEIS,UKF,UKF2,UKF22,-1.1791643592645,52.50239697296727,Leicestershire,,"Gilmorton Lane, Ashby Magnor, Lutterworth, Leicestershire. LE17 5NB",East Midlands,England,2011-09-29,,,2.0,4.0,Low Spinney Wind Farm,3682.0,"Infinis, previously Broadview Energy Developments",
4.0,Renewable energy,Wind,,Onshore,BEIS,UKC,UKC1,UKC14,-1.43121857753983,54.78751175613103,Durham,,"Colliery Farm, Green Lane, High Haswell",North East,England,2011-10-03,,,2.0,2.0,High Haswell Wind Farm,3050.0,Hallam Land Management,
1.0,Renewable energy,Wind,,Onshore,BEIS,UKF,UKF2,UKF22,-1.34265243506854,52.82619760610802,Leicestershire,,"Castle Donington, Leicestershire",East Midlands,England,2011-10-05,,,0.25,4.0,East Midlands Airport,4113.0,Wind Direct,
1.5,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM7,UKM72,-3.44433482581512,56.05398001606935,Fife,,"Queensferry Road, Pitreavie Crescent, Dunfermline, Fife. KY11 8UD",Scotland,Scotland,2011-10-31,,,1.5,1.0,"F M C Land, Pitreavie Business Park",2704.0,FMC Corp UK Ltd,
2.3,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL2,UKL22,-3.10421547777878,51.50666179640554,South Glamorgan,,"Wentloog Environmental Centre, WENTLOOG AVENUE, WENTLOOG",Wales,Wales,2011-12-07,,,2.3,1.0,G24 Innovations Turbine,2804.0,,
2.0,Renewable energy,Wind,,Onshore,BEIS,UKI,UKI5,UKI52,0.15044908602015,51.5286790283711,Greater London,,"Thames Avenue, Dagenham. RM9 6SA",London,England,2011-12-08,,,2.0,1.0,Ford Motor Company Ltd (Extension),2683.0,,
4.6,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM5,UKM50,-2.72439551365045,57.61136090234468,Grampian,,"Cornhill, Banff, Grampian. AB45 2BQ",Scotland,Scotland,2011-12-13,,,2.3,2.0,Muirake,3594.0,Vento Ludens,
6.0,Renewable energy,Wind,,Onshore,BEIS,UKE,UKE3,UKE31,-1.73119829020319,53.5315897387532,South Yorkshire,,"to the rear of Hepworth's factory, Crow Edge",Yorkshire and Humber,England,2011-12-16,,,2.0,3.0,Hazlehead,3937.0,Banks Renewables,
7.5,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM61,-4.34870029447486,58.00273053759335,Highland,,Land To South Of Toroboll Lairg Highland,Scotland,Scotland,2012-01-01,,,2.5,3.0,Lairg Wind Farm,2796.0,ABO Wind,
22.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM91,-3.42049512105474,55.53852355575887,Borders,,"Kingledores Farm, Broughton, Biggar, Strathclyde. ML12 6QL",Scotland,Scotland,2012-01-02,,,2.0,11.0,Glenkerie Wind Farm,3538.0,Novera Energy,
4.6,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM5,UKM50,-2.20106499332837,57.59461210639282,Grampian,AB43 6NP,"Bonnykelly, New Pitsligo, Fraserburgh, Grampian",Scotland,Scotland,2012-01-03,,,2.3,2.0,Greenhill Croft,3698.0,Green Cat Renewables,
18.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM93,-4.77504746437437,55.73072201539594,Strathclyde,,"Baidland Hill, North Ayrshire",Scotland,Scotland,2012-01-05,,,3.0,6.0,Millour Hill Community Windfarm (Re-submission),3690.0,Community Windpower,
18.4,Renewable energy,Wind,,Onshore,BEIS,UKN,UKN1,UKN10,-7.71281498824165,54.65399540616844,Co. Tyrone,,"Church Hill, Meenamullan Road, Killeter, Castlederg, and Magherakeel, Killeter, Castlederg, Co Tyrone.",Northern Ireland,Northern Ireland,2012-01-06,,,2.0,8.0,Church Hill,4047.0,Greencoat (formerly Energia Renewables),
48.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM62,-3.34104620508611,57.62284198282819,Grampian,,"Hill of Towie, Knockan and McHattie's Cairn, Drummuir, Keith, Banffshire, Moray",Scotland,Scotland,2012-01-06,,,2.3,21.0,Hill of Towie (Drummuir),4014.0,Renewable Energy Systems (RES),
2.5,Renewable energy,Wind,,Onshore,BEIS,UKN,UKN1,UKN16,-7.00902356033228,54.55156885839899,Co. Tyrone,,"Lands to the East of Whitebridge Road and South of Gleneeny Road, on lands at Crockagarron in the Townland of Gleneeny, Co Tyrone.",Northern Ireland,Northern Ireland,2012-01-06,,,2.5,1.0,Crockagarron Ext,3717.0,Northern Wind Power,
12.0,Renewable energy,Wind,,Onshore,BEIS,UKC,UKC2,UKC21,-1.91439069088695,54.88596553396787,Northumberland,,"land to the east of A68, approx 1km SE of Kiln Pit Hill",North East,England,2012-01-08,,,2.0,6.0,Kiln Pit Hill Windfarm,3938.0,Npower Renewables,
2.3,Renewable energy,Wind,,Onshore,BEIS,UKD,UKD4,UKD47,-2.7802983351651,53.63347573381784,Lancashire,,Cliff FarmMawdesley MossChorleyLancashire,North West,England,2012-01-08,,,0.75,3.0,Mawdesley Moss,3944.0,Private Developer,
28.6,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM91,-2.26192878225092,55.89788780857383,Borders,,ColdinghamEast Berwickshire,Scotland,Scotland,2012-01-09,,,1.3,22.0,Drone Hill,4023.0,Greencoat UK Wind,
26.0,Renewable energy,Wind,,Onshore,BEIS,UKH,UKH1,UKH12,0.31604714417886,52.16601027689879,Cambridgeshire,,"Nr West Wratting, South Cambridgeshire",Eastern,England,2012-01-09,,,2.0,13.0,Wadlow Wind Farm,3935.0,DIF,
