OBJECTID;COUNTRY;NAME;N_TURBINES;POWER_MW;STATUS;TYPE_INST;UPDT_YEAR;START_YEAR;COAST_DIST_M;AREA_SQKM;NOTES;Shape_Length;Shape_Area
583;Belgium;Princess Elisabeth Zone Lot 3;0;1400;Planned; ;2025;2030;34930,39939;106,7381573; ;0,602906354;0,013815135
584;Finland;Störmskar;0;2000;Planned; ;2025;0;15006,6599;578,5321034; ;2,397316184;0,095287669
585;Finland;Väderskär;0;475;Planned; ;2025;0;6150,131138;96,17087755; ;1,247746338;0,015683394
586;Finland; ;0;0;Planned; ;2025;0;6880,642237;332,4516669; ;2,947972012;0,0529193
587;France;BNE (Bretagne Nord Est);0;2000;Planned; ;2026;2040;13455,07796;360,805582; ;1,224917215;0,044228128
588;France;BNO (Bretagne Nord Ouest);0;2000;Planned; ;2026;2035;15984,75367;351,2926004; ;0,997780621;0,043070568
589;Netherlands;Doordewind II;0;2300;Planned; ;2026;2032;83403,94732;182,1362428; ;0,766295167;0,025148662
590;France;FGL (Fécamp-Grand-Large);0;4000;Planned;Grounded;2026;2035;24994,93971;591,0950666; ;1,444625822;0,074121155
591;Germany;N-12.4;0;1000;Planned; ;2026;2033;140306,6885;90,11300454; ;0,550420572;0,01260678
592;Germany;N-12.5;0;1000;Planned; ;2026;2033;140478,2151;104,7939291; ;0,596749551;0,014691749
593;Germany;N-12.6;0;2000;Planned; ;2026;2034;121155,4413;213,4108972; ;0,785657592;0,030010938
594;Germany;N-9.4;0;1000;Planned; ;2026;2032;118811,8907;140,8981514; ;0,582652535;0,019590336
595;Germany;N-9.5;0;1000;Planned; ;2026;2033;104855,7048;145,9202113; ;0,595472714;0,020226476
596;France;RD (Roches-Douvres);0;2000;Planned; ;2026;2040;21678,10314;875,5851295; ;2,067117301;0,107962728
597;Ireland;SC-DMAP Maritime Area: B - Lí Ban;0;1500;Planned; ;2026;2030;23675,54579;368,2416452; ;0,99467192;0,047997568
598;Ireland;SC-DMAP Maritime Area: C - Manannán;0;1400;Planned; ;2026;2030;23035,46056;341,4270537; ;0,895947182;0,044475697
599;Ireland;SC-DMAP Maritime Area: D - Danu;0;1300;Planned; ;2026;2030;22812,17202;300,4863142; ;0,89361734;0,039183233
600;Netherlands;Zoekgebied 6/7;0;20000;Planned; ;2026;0;94883,89935;4636,471522; ;3,872519474;0,642697604
